"Name","Points","Years"
".NET Framework","9 / 10","7"
"ASP.NET","9 / 10","7"
"HTML","9 / 10","7"
"ASP.NET MVC","9 / 10","7"
"Windows Forms","9 / 10","4"
"C#","9 / 10","7"
"HTML5","8 / 10","5"
"JavaScript","8 / 10","6"
"SQL","8 / 10","5"
"Windows Services","8 / 10","3"
"Agile","8 / 10","4"
"Bootstrap","8 / 10","4"
"Entity Framework","8 / 10","7"
"ASP.NET Web API","8 / 10","5"
"jQuery","8 / 10","5"
"SQL Server","7 / 10","5"
"Entity Framework Core","7 / 10","2"
"Design Patterns","7 / 10","1"
"Docker","7 / 10","1"
"CSS","6 / 10","6"
"T-SQL","6 / 10","5"
"Windows Server","6 / 10","5"
"Tests Automation","6 / 10","1"
"Raspberry Pi","6 / 10","2"
"Load Testing","6 / 10","1"
"Git","6 / 10","5"
"Linux/Unix","6 / 10","3"
"Umbraco","6 / 10","2"
"Piranha CMS","6 / 10","1"
"Angular","6 / 10","1"
"xUnit Tests","6 / 10","1"
"NUnit Tests","6 / 10","1"
"MS Tests","6 / 10","1"
"Amazon EC2","5 / 10","2"
"TypeScript","5 / 10","1"
"Bash","4 / 10","2"
"IoT","4 / 10","2"
"Azure","4 / 10","1"
"AWS","4 / 10","3"
"Selenium","4 / 10","1"
"Async and Paralell","4 / 10","2"
"WPF","4 / 10","1"
"Vue.js","4 / 10","1"
"Multi-Threeading","3 / 10","0"
"SpecFlow","3 / 10","1"